Document,router_label,reason,word_count,char_count,sentence_count,avg_word_length,language,readability,vocabulary_richness,special_char_ratio,number_ratio,punctuation_density,capital_ratio,has_email,has_phone,proper_noun_ratio,tfidf_confidence,tfidf_prediction,tfidf_success,tfidf_latency,transformer_confidence,transformer_prediction,transformer_success,transformer_latency
issue with server process sent tuesday issue with server process hi could you please help with following issue getting once few minutes discipline lead,1,Rich vocabulary (0.75),24,151,1,6.291666666666667,en,48.525000000000034,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0.8743653827406137,Hardware,True,2.123469,0.0,error,False,0.0
new purchase po wednesday february purchase po dear purchased please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator information,1,Complex text (readability: -5.0); Rich vocabulary (0.88),26,204,1,7.846153846153846,en,-5.024230769230741,0.8846153846153846,0.0,0.0,0.0,0.0,0,0,0.0,0.9857936154015379,Purchase,True,2.109932,0.0,error,False,0.0
oracle pas urgent re we updated rights query hi can get some assistance here looks like have full control for codes only one working for cannot forecast need done by friday thanks programme portfolio officer mobile phone,1,Rich vocabulary (0.97),37,220,1,5.945945945945946,en,36.6637837837838,0.972972972972973,0.0,0.0,0.0,0.0,0,0,0.0,0.9037409476363969,Hardware,True,2.094307,0.0,error,False,0.0
new starter access thursday pm re starter form hello please find attached employees added comments needs each person profile please take consideration urgent next october thank help regards leader starter form hello please fill enclosed colleagues,1,Complex text (readability: 24.6); Rich vocabulary (0.83),36,247,1,6.861111111111111,en,24.595000000000027,0.8333333333333334,0.0,0.0,0.0,0.0,0,0,0.0,0.9946825169048215,HR Support,True,2.10085,0.0,error,False,0.0
new phone phone hi taken work mobile phone speak everything thanks,1,Rich vocabulary (0.82),11,66,1,6.0,en,80.30636363636367,0.8181818181818182,0.0,0.0,0.0,0.0,0,0,0.0,0.9824969409634775,Hardware,True,2.079475,0.0,error,False,0.0
confluence account confluence hello please create confluence thank,1,Complex text (readability: 18.9); Rich vocabulary (0.75),8,66,1,8.25,en,18.940000000000026,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0.9987624463940723,Access,True,2.073853,0.0,error,False,0.0
web not working on hello we changed configuration for documents be client app web app we shut down web app apologize for misunderstanding try using explorer when opening documents web we could go for call review issue best regards engineer en hello web was shut down site one was requested by site owner because caused some problems with editing documents web with check out option enabled could you give more details about if you want be enabled specific library please approve with site owner best regards engineer en trying open various docs word excel locations get error message en en bin cd sc catalogue cd view might be temporarily down or have moved permanently web address sites where tried open docs forms design cd view ac ca ribbon or catalogue cd view,1,Long text (132 words); Complex text (readability: -64.9),132,764,1,5.787878787878788,en,-64.94045454545451,0.6666666666666666,0.0,0.0,0.0,0.0,0,0,0.0,0.8783304937812652,Hardware,True,2.090672,0.0,error,False,0.0
new project setup oracle july pm setup hi please per attached setup form please let questions thanks director,1,Rich vocabulary (0.83),18,109,1,6.055555555555555,en,47.565,0.8333333333333334,0.0,0.0,0.0,0.0,0,0,0.0,0.9694735717577967,Internal Project,True,2.068134,0.0,error,False,0.0
cable needed for monitor re rejected hi please allocate proper cable her monitor kind regards administrator thursday october rejected hi raised monitor cable seems haven filled requisition correctly has rejected by hi please provide category natural price agreed supplier code thank requisition monitor cable has output monitor model has cable suitable ask help adaptor cable ask help thank,1,Complex text (readability: -21.2),58,390,1,6.724137931034483,en,-21.234999999999985,0.6551724137931034,0.0,0.0,0.0,0.0,0,0,0.0,0.9870780339059749,Hardware,True,2.095764,0.0,error,False,0.0
timecard deletion inquiry pm re updated links hi delete cause wrong option please let how proceed thank,1,Rich vocabulary (1.00),17,103,1,6.0588235294117645,en,50.2388235294118,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.7815569739468737,HR Support,True,2.068465,0.0,error,False,0.0
new purchase po purchase po dear purchased hub shuttle type please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,Complex text (readability: 11.8); Rich vocabulary (0.88),33,227,1,6.878787878787879,en,11.830909090909103,0.8787878787878788,0.0,0.0,0.0,0.0,0,0,0.0,0.9842298091701087,Purchase,True,2.076374,0.0,error,False,0.0
unable to log and outlook sent wednesday unable get any more was forced change password yesterday since then laptop most devices cannot connect via or only phone works old passwords work,1,Low TF-IDF confidence (0.66); Rich vocabulary (0.97),31,186,1,6.0,en,41.64741935483872,0.967741935483871,0.0,0.0,0.0,0.0,0,0,0.0,0.661748644117113,Administrative rights,True,2.084684,0.0,error,False,0.0
still cannot connect to through still cannot connect through hi have asked about before something was done but enough still cannot connect address through have route injected by for address but when try connect get very cannot connect response back suggest there way actively blocking connection can you ask take look please thanks information compliance officer extension or,1,Complex text (readability: 13.8); Rich vocabulary (0.76),58,375,1,6.4655172413793105,en,13.771896551724154,0.7586206896551724,0.0,0.0,0.0,0.0,0,0,0.0,0.9761150968413841,Hardware,True,2.074812,0.0,error,False,0.0
old laptop required to test a new data centre line old required test centre hi please log require old os centre test thanks allot infrastructure,1,Rich vocabulary (0.72),25,144,1,5.76,en,46.10000000000002,0.72,0.0,0.0,0.0,0.0,0,0,0.0,0.8780014438649426,Hardware,True,2.102232,0.0,error,False,0.0
enable accounts and reset passwords enable accounts seems seems seems infrastructure,1,Low TF-IDF confidence (0.71); Complex text (readability: 26.5),11,84,1,7.636363636363637,en,26.470000000000027,0.6363636363636364,0.0,0.0,0.0,0.0,0,0,0.0,0.7059114726007555,Access,True,2.067027,0.0,error,False,0.0
laptop issues sent wednesday november laptop issues hi please log laptop issues into queue thanks,1,Rich vocabulary (0.73),15,97,1,6.466666666666667,en,50.610000000000014,0.7333333333333333,0.0,0.0,0.0,0.0,0,0,0.0,0.9925161013247189,Hardware,True,2.083019,0.0,error,False,0.0
error drive enclosure error problem original message sent february error drive enclosure event enclosure event fault enclosure status over voltage dc failure event id event code event severity error event name location client name contact address additional information indicated alert condition was detected indicated enclosure event logged error severity when one supplies enclosure supplied or when hardware failure detected recommended action check modules enclosure properly seated their slots their latches locked if reported problem with perform these checks check each module switch turned check each cable firmly plugged into functional electrical outlet if reported problem with temperature or fan or perform these checks check enclosure fans running check ambient temperature too warm enclosure operating range check for any obstructions airflow check there module or blank plate every module slot enclosure if none above resolve issue indicated probably failed should be replaced failed probably have led lit when problem resolved event logged sent february error problem event there problem with type right enclosure product id sn cl version related event serial number related event code event id event code event severity error event name location client name contact address additional information indicated failed or operating correctly event follows some other specific event indicating problem recommended action determine whether needs be replaced topic about verifying component failure component replacement instructions document,1,Long text (219 words); Complex text (readability: -184.3),219,1551,1,7.082191780821918,en,-184.26369863013693,0.547945205479452,0.0,0.0,0.0,0.0,0,0,0.0,0.8452238954137592,Hardware,True,2.097605,0.0,error,False,0.0
help to access files on the new hello please be advised below regarding kind regards analyst ext hub sent tuesday december re awaiting your response help access files hi clear everything works smooth small advice for matter cause think crucial you warn employees one locations compatible solely with explorer order for them exploit implemented features was included somewhere but if was accept apologies thank you administrator hello could you please provide browser you use best regards engineer sent friday december help hi having difficulties understanding how supposed access following link step one seeing contents interested tags availability version document step two getting your connection secure message when trying open excel file help how can open excel document work save back line thank you administrator phone,1,Long text (125 words); Complex text (readability: -69.6); Rich vocabulary (0.78),125,824,1,6.592,en,-69.61279999999998,0.784,0.0,0.0,0.0,0.0,0,0,0.0,0.9806620284664256,Hardware,True,2.086263,0.0,error,False,0.0
list modification team friday october modification importance high please today ext,1,Low TF-IDF confidence (0.58); Complex text (readability: 3.4); Rich vocabulary (0.91),11,83,1,7.545454545454546,en,3.3972727272727354,0.9090909090909091,0.0,0.0,0.0,0.0,0,0,0.0,0.581200246292644,Miscellaneous,True,2.099704,0.0,error,False,0.0
name change to october pm name change dear changed her name she wants reflected please action let other updates made by except changing her name also please make too thank administration officer,1,Rich vocabulary (0.81),32,194,1,6.0625,en,44.81125000000003,0.8125,0.0,0.0,0.0,0.0,0,0,0.0,0.9869940016142381,Miscellaneous,True,2.099395,0.0,error,False,0.0
new delivery thursday pm hello received black po please advise please log thank engineer,1,Rich vocabulary (0.93),14,88,1,6.285714285714286,en,47.59642857142859,0.9285714285714286,0.0,0.0,0.0,0.0,0,0,0.0,0.8976370024234898,Purchase,True,2.086166,0.0,error,False,0.0
access to oracle modules wednesday march pm modules hi please roles best regards analyst wednesday march pm modules wednesday march modules hi approved please replicate thanks kind regards accountant ext march modules please provide colleague same meaning etc modules she thanks information confidential legally privileged intended solely,1,Low TF-IDF confidence (0.60); Complex text (readability: 0.7),47,338,1,7.191489361702128,en,0.7299999999999898,0.6595744680851063,0.0,0.0,0.0,0.0,0,0,0.0,0.5965888874640289,HR Support,True,2.087195,0.0,error,False,0.0
please correct access tuesday october pm please please same se screen shots thanks engineer ext date please engineer ext date thursday pm please hi working found same his preventing closing tickets thanks engineer ext registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability,1,Low TF-IDF confidence (0.40); Complex text (readability: 2.5); Rich vocabulary (0.75),51,347,1,6.803921568627451,en,2.458235294117685,0.7450980392156863,0.0,0.0,0.0,0.0,0,0,0.0,0.3986549947806112,Miscellaneous,True,2.107966,0.0,error,False,0.0
the filter for the field task details is not working sent monday december re starter bogota hi guys trying log some hours fusion but seems filter for field task details working tried with following codes even if try search using text field fails ll appreciate much if you help with error regards developer,1,Low TF-IDF confidence (0.52); Complex text (readability: 25.3); Rich vocabulary (0.81),53,305,1,5.754716981132075,en,25.341886792452854,0.8113207547169812,0.0,0.0,0.0,0.0,0,0,0.0,0.5194479428552499,HR Support,True,2.105682,0.0,error,False,0.0
can find sent wednesday can find dear would you please check why can find discipline thanks head testing,1,Low TF-IDF confidence (0.64); Rich vocabulary (0.78),18,104,1,5.777777777777778,en,85.16499999999999,0.7777777777777778,0.0,0.0,0.0,0.0,0,0,0.0,0.6356958193713657,Hardware,True,2.065632,0.0,error,False,0.0
new starter account thursday november assistants starter hi dear please informed candidate accepted become december test engineer grade st please create his per attached form thank officer,1,Complex text (readability: 25.9); Rich vocabulary (0.93),27,188,1,6.962962962962963,en,25.896666666666675,0.9259259259259259,0.0,0.0,0.0,0.0,0,0,0.0,0.9756498606265616,HR Support,True,2.098443,0.0,error,False,0.0
project code missing pm tuesday pm code pm hello please assign kind regards tuesday code pm hi please made create code thank best regards re code pm hi old code work client by requested creation old code thanks tuesday code pm good morning code has without name please identifying name thank best regards,1,Complex text (readability: 23.7),53,304,1,5.735849056603773,en,23.74566037735852,0.5471698113207547,0.0,0.0,0.0,0.0,0,0,0.0,0.9864601266583384,Internal Project,True,2.056144,0.0,error,False,0.0
new project code oracle fusion tuesday march pm code setup hi please code thank officer,1,Rich vocabulary (0.87),15,87,1,5.8,en,56.25000000000003,0.8666666666666667,0.0,0.0,0.0,0.0,0,0,0.0,0.996183115436526,Internal Project,True,2.07196,0.0,error,False,0.0
password reset please marsh thanks tuesday october hi app tried requesting by never received thanks marsh product east avenue cell marsh information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,Complex text (readability: -68.8); Rich vocabulary (0.74),53,460,1,8.679245283018869,en,-68.83547169811317,0.7358490566037735,0.0,0.0,0.0,0.0,0,0,0.0,0.8855632835315982,Access,True,2.079901,0.0,error,False,0.0
platform access pm platform hi guys gain namely administrating user accounts word press platform product jabber ibm notes timeout other hand clients externally well environment think help out let resolve part let cheers information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying,1,Low TF-IDF confidence (0.53); Complex text (readability: -34.7); Rich vocabulary (0.90),52,407,1,7.826923076923077,en,-34.66807692307691,0.9038461538461539,0.0,0.0,0.0,0.0,0,0,0.0,0.526150058007947,Hardware,True,2.106786,0.0,error,False,0.0
access card access card hi please consider access card lost initiate issuing card thank you regards tester,1,Rich vocabulary (0.71),17,106,1,6.235294117647059,en,45.26235294117649,0.7058823529411765,0.0,0.0,0.0,0.0,0,0,0.0,0.9959442226702558,Access,True,2.095138,0.0,error,False,0.0
enable on mobile phone resolved enable mobile phone resolved hello please assign she requested enable her personal mobile phone connect phone install macedonian language her thank engineer ext,1,Complex text (readability: 18.3),28,192,1,6.857142857142857,en,18.27928571428575,0.6785714285714286,0.0,0.0,0.0,0.0,0,0,0.0,0.983199885675744,Hardware,True,2.102907,0.0,error,False,0.0
full import of data new pas wednesday july pm import hi please queue thanks,1,Rich vocabulary (0.93),14,75,1,5.357142857142857,en,71.76785714285715,0.9285714285714286,0.0,0.0,0.0,0.0,0,0,0.0,0.7717718614771559,Internal Project,True,2.109574,0.0,error,False,0.0
new purchase po tuesday pm re purchase po hello receipt number has aforementioned products thank engineer tuesday pm purchase po dear purchased requested by mouse wireless jug mouse mouse red please log allocation please take consideration mandatory receipts section order receive item ordered how video explorer kind regards administrator,1,Complex text (readability: -5.2); Rich vocabulary (0.82),49,339,1,6.918367346938775,en,-5.193877551020364,0.8163265306122449,0.0,0.0,0.0,0.0,0,0,0.0,0.9661231906646878,Purchase,True,2.087378,0.0,error,False,0.0
for issue sent july for issue hello please raise incident assign order job for database transaction log release some space moment logs file increased more than with native tools temporary solution before issue be solved someone investigating why anymore kind regards senior engineer,1,Low TF-IDF confidence (0.70); Complex text (readability: 11.7); Rich vocabulary (0.91),43,282,1,6.558139534883721,en,11.69697674418606,0.9069767441860465,0.0,0.0,0.0,0.0,0,0,0.0,0.7049757990395342,Hardware,True,2.079203,0.0,error,False,0.0
new purchase po purchase po dear purchased please log allocation please take consideration mandatory receipts section order receive item ordered how video explorer thank best regards compliance information confidential legally privileged intended solely addressee opinions expressed mine,1,Complex text (readability: -13.6); Rich vocabulary (0.92),37,287,1,7.756756756756757,en,-13.638918918918904,0.918918918918919,0.0,0.0,0.0,0.0,0,0,0.0,0.963089755637444,Purchase,True,2.097289,0.0,error,False,0.0
windows reinstallation reported she needs reinstallation due her working slowly making her job difficult,1,Low TF-IDF confidence (0.49); Complex text (readability: 11.3); Rich vocabulary (0.86),14,104,1,7.428571428571429,en,11.339285714285722,0.8571428571428571,0.0,0.0,0.0,0.0,0,0,0.0,0.4869448290069508,Hardware,True,2.096256,0.0,error,False,0.0
warning mc not communicating original message sent monday warning mc communicating event controller receiving data controller normal during update event id event code event severity warning event name location client name contact address additional information controller mc communicated with controller sc for minutes have failed event initially logged informational severity if problem persists event logged second warning severity mc automatically restarted attempt recover problem event then logged recommended action if event logged only one warning severity action required if event logged more than one warning severity following if you able access interfaces controller logged event following check version controller update latest if needed if latest already installed controller module logged event probably hardware fault replace module if you able access interfaces controller logged event following shut down controller reseat module if you then able access interfaces check version controller update latest if needed if problem recurs replace module,1,Low TF-IDF confidence (0.59); Long text (148 words); Complex text (readability: -120.6),148,1063,1,7.1824324324324325,en,-120.5877027027027,0.4797297297297297,0.0,0.0,0.0,0.0,0,0,0.0,0.5889544024254253,Miscellaneous,True,2.094514,0.0,error,False,0.0
po hardware allocation thursday november pm po hello teams adaptor apple thunderbolt la gigabit were requested by please log allocation please perform receipt important thank administrator,1,Complex text (readability: 1.5); Rich vocabulary (0.88),26,188,1,7.230769230769231,en,1.4834615384615688,0.8846153846153846,0.0,0.0,0.0,0.0,0,0,0.0,0.9076197584539312,Purchase,True,2.083452,0.0,error,False,0.0
new starter and confluence re hello please find attached his form thanks hello please fill date thank administration officer,1,Rich vocabulary (0.89),19,124,1,6.526315789473684,en,49.518421052631595,0.8947368421052632,0.0,0.0,0.0,0.0,0,0,0.0,0.9941610422251458,HR Support,True,2.071199,0.0,error,False,0.0
surge protectors request tuesday surge protector dear took surge protector sockets,1,Low TF-IDF confidence (0.42); Rich vocabulary (0.73),11,82,1,7.454545454545454,en,41.8518181818182,0.7272727272727273,0.0,0.0,0.0,0.0,0,0,0.0,0.41824063649599336,HR Support,True,2.101302,0.0,error,False,0.0
external user pass reset user pass hi please provide pass please pass once updated thank,0,"Default to TF-IDF (simple, confident case)",15,88,1,5.866666666666666,en,61.890000000000015,0.6666666666666666,0.0,0.0,0.0,0.0,0,0,0.0,0.9862822769460842,Access,True,2.100591,0.0,error,False,0.0
doc to be uploaded march doc uploaded hi please help upload attached document policies document visible entity employees thank,1,Complex text (readability: 22.8); Rich vocabulary (0.84),19,126,1,6.631578947368421,en,22.8026315789474,0.8421052631578947,0.0,0.0,0.0,0.0,0,0,0.0,0.9030695863361151,Hardware,True,2.109216,0.0,error,False,0.0
error oracle error sheet for logged incorrectly cannot modify because error can you please unblock thanks,1,Rich vocabulary (0.88),16,105,1,6.5625,en,37.25750000000002,0.875,0.0,0.0,0.0,0.0,0,0,0.0,0.9693172062915412,HR Support,True,2.096629,0.0,error,False,0.0
new job title oracle job title designer grade intern,1,Unsupported language (da); Rich vocabulary (0.78),9,52,1,5.777777777777778,da,47.30000000000004,0.7777777777777778,0.0,0.0,0.0,0.0,0,0,0.0,0.9236213295522907,HR Support,True,2.100521,0.0,error,False,0.0
entry to be deleted tuesday pm deleted hi delete somehow got by duplicate needed regards,1,Low TF-IDF confidence (0.59); Rich vocabulary (0.93),15,88,1,5.866666666666666,en,33.690000000000026,0.9333333333333333,0.0,0.0,0.0,0.0,0,0,0.0,0.5904520628230997,HR Support,True,2.101932,0.0,error,False,0.0
access good morning require currently created by best regards design lead phone mobile ext blvd zone,1,Rich vocabulary (1.00),16,100,1,6.25,en,37.25750000000002,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.9463226994191036,Hardware,True,2.066892,0.0,error,False,0.0
assign to wednesday assign hi please assign his pm approve his vacations thank,1,Rich vocabulary (0.77),13,78,1,6.0,en,56.97846153846157,0.7692307692307693,0.0,0.0,0.0,0.0,0,0,0.0,0.9019468185455588,Miscellaneous,True,2.096475,0.0,error,False,0.0
snow blocked by outlook arrived mailbox mention unsafe item,1,Low TF-IDF confidence (0.69); Rich vocabulary (1.00),9,59,1,6.555555555555555,en,56.70000000000002,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.6906788726204152,Administrative rights,True,2.086741,0.0,error,False,0.0
