Document,Topic_group
issue with server process sent tuesday issue with server process hi could you please help with following issue getting once few minutes discipline lead,Hardware
new purchase po wednesday february purchase po dear purchased please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator information,Purchase
oracle pas urgent re we updated rights query hi can get some assistance here looks like have full control for codes only one working for cannot forecast need done by friday thanks programme portfolio officer mobile phone,Hardware
new starter access thursday pm re starter form hello please find attached employees added comments needs each person profile please take consideration urgent next october thank help regards leader starter form hello please fill enclosed colleagues,HR Support
new phone phone hi taken work mobile phone speak everything thanks,Hardware
confluence account confluence hello please create confluence thank,Access
web not working on hello we changed configuration for documents be client app web app we shut down web app apologize for misunderstanding try using explorer when opening documents web we could go for call review issue best regards engineer en hello web was shut down site one was requested by site owner because caused some problems with editing documents web with check out option enabled could you give more details about if you want be enabled specific library please approve with site owner best regards engineer en trying open various docs word excel locations get error message en en bin cd sc catalogue cd view might be temporarily down or have moved permanently web address sites where tried open docs forms design cd view ac ca ribbon or catalogue cd view,Hardware
new project setup oracle july pm setup hi please per attached setup form please let questions thanks director,Internal Project
cable needed for monitor re rejected hi please allocate proper cable her monitor kind regards administrator thursday october rejected hi raised monitor cable seems haven filled requisition correctly has rejected by hi please provide category natural price agreed supplier code thank requisition monitor cable has output monitor model has cable suitable ask help adaptor cable ask help thank,Hardware
timecard deletion inquiry pm re updated links hi delete cause wrong option please let how proceed thank,HR Support
new purchase po purchase po dear purchased hub shuttle type please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase
unable to log and outlook sent wednesday unable get any more was forced change password yesterday since then laptop most devices cannot connect via or only phone works old passwords work,Administrative rights
still cannot connect to through still cannot connect through hi have asked about before something was done but enough still cannot connect address through have route injected by for address but when try connect get very cannot connect response back suggest there way actively blocking connection can you ask take look please thanks information compliance officer extension or,Hardware
old laptop required to test a new data centre line old required test centre hi please log require old os centre test thanks allot infrastructure,Hardware
enable accounts and reset passwords enable accounts seems seems seems infrastructure,Access
laptop issues sent wednesday november laptop issues hi please log laptop issues into queue thanks,Hardware
error drive enclosure error problem original message sent february error drive enclosure event enclosure event fault enclosure status over voltage dc failure event id event code event severity error event name location client name contact address additional information indicated alert condition was detected indicated enclosure event logged error severity when one supplies enclosure supplied or when hardware failure detected recommended action check modules enclosure properly seated their slots their latches locked if reported problem with perform these checks check each module switch turned check each cable firmly plugged into functional electrical outlet if reported problem with temperature or fan or perform these checks check enclosure fans running check ambient temperature too warm enclosure operating range check for any obstructions airflow check there module or blank plate every module slot enclosure if none above resolve issue indicated probably failed should be replaced failed probably have led lit when problem resolved event logged sent february error problem event there problem with type right enclosure product id sn cl version related event serial number related event code event id event code event severity error event name location client name contact address additional information indicated failed or operating correctly event follows some other specific event indicating problem recommended action determine whether needs be replaced topic about verifying component failure component replacement instructions document,Hardware
help to access files on the new hello please be advised below regarding kind regards analyst ext hub sent tuesday december re awaiting your response help access files hi clear everything works smooth small advice for matter cause think crucial you warn employees one locations compatible solely with explorer order for them exploit implemented features was included somewhere but if was accept apologies thank you administrator hello could you please provide browser you use best regards engineer sent friday december help hi having difficulties understanding how supposed access following link step one seeing contents interested tags availability version document step two getting your connection secure message when trying open excel file help how can open excel document work save back line thank you administrator phone,Hardware
list modification team friday october modification importance high please today ext,Miscellaneous
name change to october pm name change dear changed her name she wants reflected please action let other updates made by except changing her name also please make too thank administration officer,Miscellaneous
new delivery thursday pm hello received black po please advise please log thank engineer,Purchase
access to oracle modules wednesday march pm modules hi please roles best regards analyst wednesday march pm modules wednesday march modules hi approved please replicate thanks kind regards accountant ext march modules please provide colleague same meaning etc modules she thanks information confidential legally privileged intended solely,HR Support
please correct access tuesday october pm please please same se screen shots thanks engineer ext date please engineer ext date thursday pm please hi working found same his preventing closing tickets thanks engineer ext registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability,Miscellaneous
the filter for the field task details is not working sent monday december re starter bogota hi guys trying log some hours fusion but seems filter for field task details working tried with following codes even if try search using text field fails ll appreciate much if you help with error regards developer,HR Support
