Document,router_label,reason,word_count,char_count,sentence_count,avg_word_length,language,readability,vocabulary_richness,special_char_ratio,number_ratio,punctuation_density,capital_ratio,has_email,has_phone,proper_noun_ratio,tfidf_confidence,tfidf_prediction,tfidf_success,tfidf_latency,transformer_confidence,transformer_prediction,transformer_success,transformer_latency
issue with server process sent tuesday issue with server process hi could you please help with following issue getting once few minutes discipline lead,1,Rich vocabulary (0.75),24,151,1,6.291666666666667,en,48.525000000000034,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0.9229454275911186,Hardware,True,0.018023,0.9948300719261169,Hardware,True,0.3039
new purchase po wednesday february purchase po dear purchased please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator information,1,Complex text (readability: -5.0); Rich vocabulary (0.88),26,204,1,7.846153846153846,en,-5.024230769230741,0.8846153846153846,0.0,0.0,0.0,0.0,0,0,0.0,0.985735473266994,Purchase,True,0.019896,0.9985658526420593,Purchase,True,0.055512
oracle pas urgent re we updated rights query hi can get some assistance here looks like have full control for codes only one working for cannot forecast need done by friday thanks programme portfolio officer mobile phone,1,Low TF-IDF confidence (0.53); Rich vocabulary (0.97); Transformer more confident (0.89 vs 0.53),37,220,1,5.945945945945946,en,36.6637837837838,0.972972972972973,0.0,0.0,0.0,0.0,0,0,0.0,0.5281481948790032,Internal Project,True,0.008726,0.8887122273445129,Hardware,True,0.067242
new starter access thursday pm re starter form hello please find attached employees added comments needs each person profile please take consideration urgent next october thank help regards leader starter form hello please fill enclosed colleagues,1,Complex text (readability: 24.6); Rich vocabulary (0.83),36,247,1,6.861111111111111,en,24.595000000000027,0.8333333333333334,0.0,0.0,0.0,0.0,0,0,0.0,0.9914115719590205,HR Support,True,0.00933,0.9987651109695435,HR Support,True,0.075387
new phone phone hi taken work mobile phone speak everything thanks,1,Rich vocabulary (0.82),11,66,1,6.0,en,80.30636363636367,0.8181818181818182,0.0,0.0,0.0,0.0,0,0,0.0,0.9896022641213357,Hardware,True,0.008614,0.9984700083732605,Hardware,True,0.041019
confluence account confluence hello please create confluence thank,1,Complex text (readability: 18.9); Rich vocabulary (0.75),8,66,1,8.25,en,18.940000000000026,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0.9988808248826219,Access,True,0.00922,0.9990350008010864,Access,True,0.040065
web not working on hello we changed configuration for documents be client app web app we shut down web app apologize for misunderstanding try using explorer when opening documents web we could go for call review issue best regards engineer en hello web was shut down site one was requested by site owner because caused some problems with editing documents web with check out option enabled could you give more details about if you want be enabled specific library please approve with site owner best regards engineer en trying open various docs word excel locations get error message en en bin cd sc catalogue cd view might be temporarily down or have moved permanently web address sites where tried open docs forms design cd view ac ca ribbon or catalogue cd view,1,Long text (132 words); Complex text (readability: -64.9),132,764,1,5.787878787878788,en,-64.94045454545451,0.6666666666666666,0.0,0.0,0.0,0.0,0,0,0.0,0.945609959052472,Hardware,True,0.009528,0.9959900975227356,Hardware,True,0.192761
new project setup oracle july pm setup hi please per attached setup form please let questions thanks director,1,Rich vocabulary (0.83),18,109,1,6.055555555555555,en,47.565,0.8333333333333334,0.0,0.0,0.0,0.0,0,0,0.0,0.97926469580608,Internal Project,True,0.008432,0.9969444870948792,Internal Project,True,0.055233
cable needed for monitor re rejected hi please allocate proper cable her monitor kind regards administrator thursday october rejected hi raised monitor cable seems haven filled requisition correctly has rejected by hi please provide category natural price agreed supplier code thank requisition monitor cable has output monitor model has cable suitable ask help adaptor cable ask help thank,1,Complex text (readability: -21.2),58,390,1,6.724137931034483,en,-21.234999999999985,0.6551724137931034,0.0,0.0,0.0,0.0,0,0,0.0,0.9699298727031366,Hardware,True,0.010361,0.99864262342453,Hardware,True,0.087066
timecard deletion inquiry pm re updated links hi delete cause wrong option please let how proceed thank,1,Low TF-IDF confidence (0.68); Rich vocabulary (1.00),17,103,1,6.0588235294117645,en,50.2388235294118,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.6799256079687412,HR Support,True,0.008465,0.9980823993682861,HR Support,True,0.05698
new purchase po purchase po dear purchased hub shuttle type please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,Complex text (readability: 11.8); Rich vocabulary (0.88),33,227,1,6.878787878787879,en,11.830909090909103,0.8787878787878788,0.0,0.0,0.0,0.0,0,0,0.0,0.983244021394156,Purchase,True,0.010917,0.9985455274581909,Purchase,True,0.064691
unable to log and outlook sent wednesday unable get any more was forced change password yesterday since then laptop most devices cannot connect via or only phone works old passwords work,1,Rich vocabulary (0.97),31,186,1,6.0,en,41.64741935483872,0.967741935483871,0.0,0.0,0.0,0.0,0,0,0.0,0.8733484633506456,Administrative rights,True,0.016698,0.9868088960647583,Administrative rights,True,0.120461
still cannot connect to through still cannot connect through hi have asked about before something was done but enough still cannot connect address through have route injected by for address but when try connect get very cannot connect response back suggest there way actively blocking connection can you ask take look please thanks information compliance officer extension or,1,Complex text (readability: 13.8); Rich vocabulary (0.76),58,375,1,6.4655172413793105,en,13.771896551724154,0.7586206896551724,0.0,0.0,0.0,0.0,0,0,0.0,0.9763143129877442,Hardware,True,0.010838,0.9986494183540344,Hardware,True,0.060051
old laptop required to test a new data centre line old required test centre hi please log require old os centre test thanks allot infrastructure,1,Rich vocabulary (0.72),25,144,1,5.76,en,46.10000000000002,0.72,0.0,0.0,0.0,0.0,0,0,0.0,0.8367273769589326,Hardware,True,0.009944,0.9922578930854797,Hardware,True,0.055451
enable accounts and reset passwords enable accounts seems seems seems infrastructure,1,Complex text (readability: 26.5),11,84,1,7.636363636363637,en,26.470000000000027,0.6363636363636364,0.0,0.0,0.0,0.0,0,0,0.0,0.9561540248270282,Access,True,0.010037,0.9987358450889587,Access,True,0.041538
laptop issues sent wednesday november laptop issues hi please log laptop issues into queue thanks,1,Rich vocabulary (0.73),15,97,1,6.466666666666667,en,50.610000000000014,0.7333333333333333,0.0,0.0,0.0,0.0,0,0,0.0,0.983534569717803,Hardware,True,0.008321,0.9981470108032227,Hardware,True,0.051053
